,,MI,NMI,AMI,Rand,Hom,Comp
0.25,0.25,1.0128170230334865,0.9406302575544215,0.9390840651983469,0.9822823814240124,0.9785414108456004,0.9055470877709392
0.25,0.5,0.9737075118901588,0.9086863798601424,0.9062981090144028,0.9741755621583947,0.95028167453322,0.8705797608850694
0.25,1.0,0.9878966496083963,0.9207953212340999,0.9187269180077131,0.9767800154066248,0.9616552387643267,0.8832660922228335
0.25,2.0,0.9986602606573098,0.9286053268964974,0.9267431626902347,0.9797146106158982,0.9672972560972971,0.8928897028233442
0.25,4.0,0.9873201976854422,0.9159820859034719,0.9137933979910426,0.9767800154066248,0.9518133611409161,0.8827506937370265
0.5,0.25,0.9928489752568818,0.9211113856223022,0.9190563172648757,0.9811819082205349,0.9571433081789784,0.8876939049142589
0.5,0.5,0.9737075118901588,0.9086863798601424,0.9062981090144028,0.9741755621583947,0.95028167453322,0.8705797608850694
0.5,1.0,0.9799212028093354,0.9167690997842327,0.9145896990338691,0.9726715821136422,0.9613552162870844,0.8761353445573464
0.5,2.0,0.9579964464114944,0.8940244500308862,0.8912527023336114,0.9685264663805436,0.9349485920321059,0.856532692889143
0.5,4.0,0.9698746333951285,0.8978669292574013,0.8952096593841319,0.9737720553171197,0.9308366747857912,0.8671528319531691
1.0,0.25,0.9566894285202667,0.8887012975195449,0.8857973240061431,0.9727082645537581,0.9247424615110855,0.8553641044687778
1.0,0.5,0.9488334296509349,0.8866021336221079,0.883631563526507,0.9670958512160229,0.9284785279308769,0.8483401537097865
1.0,1.0,0.9737075118901588,0.9086863798601422,0.9062981090144027,0.9741755621583947,0.9502816745332198,0.8705797608850694
1.0,2.0,0.937692380494848,0.8741439099302456,0.870850817921999,0.9642346208869814,0.913096131239199,0.8383790803978565
1.0,4.0,0.9488334296509349,0.8866021336221079,0.883631563526507,0.9670958512160229,0.9284785279308769,0.8483401537097865
2.0,0.25,0.9762668558769075,0.8973876218911035,0.8947321078006946,0.976303143685118,0.923324570939409,0.8728680384723307
2.0,0.5,0.9737075118901588,0.9086863798601424,0.9062981090144027,0.9741755621583947,0.95028167453322,0.8705797608850694
2.0,1.0,0.9986602606573098,0.9286053268964974,0.9267431626902347,0.9797146106158982,0.9672972560972971,0.8928897028233442
2.0,2.0,0.9656999331772662,0.904593471284485,0.9020913742128447,0.9700304464252962,0.9498900689678603,0.8634202844755613
2.0,4.0,0.9624829440356752,0.8940830908186584,0.8913195374974683,0.9697736693444848,0.9303425127281332,0.860544014544954
4.0,0.25,0.8650594022180575,0.7121607087554774,0.7052598139711721,0.8233373684017461,0.6598796622668324,0.7734388390128113
4.0,0.5,0.9780350714501901,0.9054215009572969,0.9029607838326877,0.9739187850775833,0.9386686509633497,0.8744489779969662
4.0,1.0,0.9946795117028346,0.9196701010250227,0.9175833739935816,0.9807417189391439,0.9521528202399662,0.8893305647550724
4.0,2.0,0.9701393185353908,0.9000425988369534,0.8974386832549497,0.9753127178019881,0.9352503551682821,0.8673894836409763
4.0,4.0,1.0015371522528342,0.9280249466650339,0.9261528568205151,0.979384468654855,0.9630456489714331,0.8954618957732189
