,MI,NMI,AMI,Rand,Hom,Comp
4,0.8802232522319916,0.7257500126063329,0.7191542336379225,0.8320311067092183,0.6733478921593815,0.7869966484761494
8,1.0062054377921927,0.9323505829421657,0.9305910040215056,0.9837129965885331,0.9675345209685652,0.8996357517402009
16,1.0062054377921927,0.9323505829421657,0.9305910040215056,0.9837129965885331,0.9675345209685652,0.8996357517402009
32,1.0128170230334865,0.9406302575544215,0.9390840651983469,0.9822823814240124,0.9785414108456004,0.9055470877709392
64,1.0128170230334865,0.9406302575544215,0.9390840651983469,0.9822823814240124,0.9785414108456004,0.9055470877709392
128,1.0128170230334865,0.9406302575544215,0.9390840651983469,0.9822823814240124,0.9785414108456004,0.9055470877709392
